,n,f,a,timeout,t,std
0,100,49,0,1000,833.0,360.63555010564335
1,100,49,0,1500,1499.0,6.708203932499364
2,100,49,0,2000,1863.6,309.5008885286115
3,100,49,0,500,496.4,2.8809720581775897
4,100,49,1,1000,1149.8,107.60669124176246
5,100,49,1,1500,1572.2,73.27482514479308
6,100,49,1,2000,2084.4,94.26452142773545
7,100,49,1,500,761.4,288.98927315732675
8,100,49,10,1000,1054.0,67.04848991588102
9,100,49,10,1500,1605.6,94.85936959520659
10,100,49,10,2000,2036.8,170.77968263233188
11,100,49,10,500,769.4,203.57995972099022
12,100,49,100,1000,1102.6,60.977864836348594
13,100,49,100,1500,1585.8,100.09595396418376
14,100,49,100,2000,2150.6,101.68726567274783
15,100,49,100,500,590.6,102.20958859128628
16,25,12,0,1000,48.2,56.58356651891077
17,25,12,0,1500,52.2,45.334313714889305
18,25,12,0,2000,176.8,214.93417597022582
19,25,12,0,500,48.4,70.59957506954274
20,25,12,1,1000,111.0,130.67516979135706
21,25,12,1,1500,49.8,53.56024645200954
22,25,12,1,2000,118.0,119.70171260261901
23,25,12,1,500,82.0,81.03702857336269
24,25,12,10,1000,17.8,12.255610959882823
25,25,12,10,1500,80.4,63.42948841036006
26,25,12,10,2000,83.6,77.08955830720527
27,25,12,10,500,60.6,26.857028875138067
28,25,12,100,1000,43.8,45.00222216735525
29,25,12,100,1500,131.8,112.78829726527482
30,25,12,100,2000,119.2,64.90531565288008
31,25,12,100,500,69.2,105.63001467386059
32,3,1,0,1000,1.2,2.6832815729997477
33,3,1,0,1500,3.0,6.708203932499369
34,3,1,0,2000,2.0,4.472135954999579
35,3,1,0,500,1.2,2.16794833886788
36,3,1,1,1000,0.0,0.0
37,3,1,1,1500,0.0,0.0
38,3,1,1,2000,1.6,3.577708763999664
39,3,1,1,500,0.0,0.0
40,3,1,10,1000,0.0,0.0
41,3,1,10,1500,0.2,0.4472135954999579
42,3,1,10,2000,0.0,0.0
43,3,1,10,500,0.0,0.0
44,3,1,100,1000,2.2,4.919349550499537
45,3,1,100,1500,0.0,0.0
46,3,1,100,2000,0.0,0.0
47,3,1,100,500,0.0,0.0
48,50,24,0,1000,460.6,284.41132185621586
49,50,24,0,1500,678.2,85.57569748474155
50,50,24,0,2000,716.4,38.48116422355227
51,50,24,0,500,291.0,218.93263804193288
52,50,24,1,1000,489.8,559.914904248851
53,50,24,1,1500,201.8,92.53215657272882
54,50,24,1,2000,528.4,804.7361679457435
55,50,24,1,500,100.8,67.93894317694381
56,50,24,10,1000,138.2,103.81570208788264
57,50,24,10,1500,179.6,114.91866689097989
58,50,24,10,2000,130.0,166.2092055212346
59,50,24,10,500,117.0,114.79111463872106
60,50,24,100,1000,329.4,439.1210539247691
61,50,24,100,1500,207.0,160.67669401627606
62,50,24,100,2000,150.4,153.22630322500115
63,50,24,100,500,197.0,185.31189924017292
64,75,37,0,1000,774.4,397.4057120877857
65,75,37,0,1500,884.8,580.6226829878419
66,75,37,0,2000,1332.2,646.4164292466584
67,75,37,0,500,387.8,169.4718265671318
68,75,37,1,1000,857.4,625.1614191550851
69,75,37,1,1500,1299.0,683.5806463029801
70,75,37,1,2000,1548.6,824.1476202719996
71,75,37,1,500,594.4,95.79822545329323
72,75,37,10,1000,1016.2,812.1248056795212
73,75,37,10,1500,1537.4,163.46039275616585
74,75,37,10,2000,975.4,966.7012465079374
75,75,37,10,500,516.0,298.8076304246597
76,75,37,100,1000,613.4,517.6415748372613
77,75,37,100,1500,1695.0,285.4671609835359
78,75,37,100,2000,2175.6,230.88048856497167
79,75,37,100,500,585.8,271.0252755740689
